time_bucket,North,South,East,West,hour,day_of_week,target_North,target_South,target_East,target_West
507600,5,8,6,4,21,5,5.0,3.0,8.0,5.0
507660,6,8,10,8,21,5,7.0,6.0,8.0,9.0
507720,5,6,7,7,21,5,7.0,11.0,7.0,9.0
507780,5,7,6,7,21,5,6.0,8.0,5.0,4.0
507840,1,6,10,9,21,5,9.0,9.0,8.0,9.0
507900,7,7,4,3,21,5,7.0,8.0,5.0,7.0
507960,4,6,5,5,21,5,9.0,10.0,9.0,7.0
508020,7,4,8,10,21,5,5.0,2.0,9.0,10.0
508080,13,7,5,10,21,5,10.0,11.0,2.0,9.0
508140,7,6,0,5,21,5,6.0,4.0,7.0,2.0
508200,7,4,8,8,21,5,2.0,6.0,8.0,10.0
508260,7,8,0,5,21,5,9.0,5.0,6.0,6.0
508320,7,7,2,4,21,5,8.0,6.0,9.0,3.0
508380,3,0,9,8,21,5,0.0,6.0,9.0,9.0
508440,7,7,4,4,21,5,8.0,11.0,4.0,5.0
508500,8,5,7,3,21,5,7.0,10.0,9.0,6.0
508560,4,6,9,9,21,5,10.0,0.0,9.0,10.0
508620,10,8,0,1,21,5,7.0,6.0,7.0,6.0
508680,7,8,4,4,21,5,8.0,6.0,0.0,5.0
508740,5,8,9,9,21,5,4.0,6.0,10.0,8.0
508800,8,7,7,8,21,5,9.0,7.0,5.0,5.0
508860,9,6,7,0,21,5,3.0,8.0,4.0,5.0
508920,5,1,9,9,21,5,0.0,7.0,10.0,8.0
508980,9,8,0,6,21,5,8.0,7.0,3.0,5.0
509040,7,7,8,4,21,5,8.0,5.0,7.0,6.0
509100,5,7,11,10,21,5,7.0,5.0,9.0,9.0
509160,9,10,7,5,21,5,6.0,5.0,5.0,0.0
509220,7,5,8,5,21,5,4.0,6.0,2.0,8.0
509280,3,1,8,9,21,5,5.0,5.0,9.0,10.0
509340,9,8,2,4,21,5,8.0,9.0,4.0,9.0
509400,5,3,8,5,21,5,5.0,7.0,6.0,0.0
509460,7,6,8,9,21,5,8.0,2.0,9.0,10.0
509520,7,11,7,9,21,5,4.0,10.0,8.0,5.0
509580,6,8,5,4,21,5,6.0,7.0,9.0,5.0
509640,9,9,8,9,21,5,5.0,5.0,9.0,9.0
509700,7,8,5,7,21,5,6.0,11.0,4.0,5.0
509760,9,10,9,7,21,5,9.0,6.0,6.0,7.0
509820,5,2,9,10,21,5,6.0,8.0,8.0,8.0
509880,10,11,2,9,21,5,9.0,11.0,3.0,3.0
509940,6,4,7,2,21,5,10.0,7.0,7.0,9.0
510000,2,6,8,10,21,5,5.0,0.0,9.0,11.0
510060,9,5,6,6,21,5,11.0,6.0,5.0,4.0
510120,8,6,9,3,21,5,7.0,5.0,4.0,3.0
510180,0,6,9,9,21,5,6.0,3.0,7.0,10.0
510240,8,11,4,5,21,5,8.0,9.0,2.0,1.0
510300,7,10,9,6,21,5,5.0,6.0,8.0,6.0
510360,10,0,9,10,21,5,0.0,3.0,11.0,8.0
510420,7,6,7,6,21,5,11.0,8.0,0.0,6.0
510480,8,6,0,5,21,5,5.0,10.0,5.0,6.0
510540,4,6,10,8,21,5,4.0,5.0,9.0,11.0
510600,9,7,5,5,21,5,10.0,9.0,6.0,6.0
510660,3,8,4,5,21,5,6.0,7.0,0.0,7.0
510720,0,7,10,8,21,5,7.0,4.0,12.0,10.0
510780,8,7,3,5,21,5,9.0,8.0,2.0,5.0
510840,8,5,7,6,21,5,6.0,8.0,4.0,4.0
510900,7,5,9,9,21,5,4.0,7.0,9.0,9.0
510960,6,5,5,0,21,5,9.0,8.0,3.0,8.0
511020,4,6,2,8,21,5,6.0,8.0,6.0,6.0
511080,5,5,9,10,21,5,5.0,9.0,10.0,11.0
511140,8,9,4,9,21,5,7.0,9.0,6.0,5.0
511200,5,7,6,0,22,5,10.0,6.0,5.0,3.0
511260,8,2,9,10,22,5,9.0,5.0,10.0,12.0
511320,4,10,8,5,22,5,8.0,8.0,8.0,0.0
511380,6,7,9,5,22,5,6.0,8.0,4.0,3.0
511440,5,5,9,9,22,5,8.0,9.0,10.0,9.0
511500,6,11,4,5,22,5,7.0,8.0,3.0,5.0
511560,9,6,6,7,22,5,5.0,5.0,7.0,0.0
511620,6,8,8,8,22,5,2.0,2.0,8.0,10.0
511680,9,11,3,3,22,5,5.0,7.0,4.0,7.0
511740,10,7,7,9,22,5,5.0,5.0,2.0,2.0
511800,5,0,9,11,22,5,4.0,4.0,5.0,5.0
511860,11,6,5,4,22,5,5.0,4.0,5.0,2.0
511920,7,5,4,3,22,5,5.0,7.0,5.0,4.0
511980,6,3,7,10,22,5,5.0,4.0,5.0,6.0
512040,8,9,2,1,22,5,5.0,5.0,2.0,1.0
512100,5,6,8,6,22,5,2.0,4.0,4.0,2.0
512160,0,3,11,8,22,5,3.0,5.0,6.0,6.0
512220,11,8,0,6,22,5,6.0,5.0,5.0,5.0
512280,5,10,5,6,22,5,5.0,4.0,4.0,5.0
512340,4,5,9,11,22,5,2.0,5.0,6.0,4.0
512400,10,9,6,6,22,5,4.0,5.0,3.0,5.0
512460,6,7,0,7,22,5,5.0,4.0,5.0,0.0
512520,7,4,12,10,22,5,3.0,4.0,5.0,6.0
512580,9,8,2,5,22,5,4.0,3.0,4.0,3.0
512640,6,8,4,4,22,5,4.0,4.0,3.0,3.0
512700,4,7,9,9,22,5,6.0,3.0,5.0,6.0
512760,9,8,3,8,22,5,4.0,5.0,4.0,4.0
512820,6,8,6,6,22,5,4.0,4.0,5.0,4.0
512880,5,9,10,11,22,5,3.0,4.0,4.0,4.0
512940,7,9,6,5,22,5,5.0,5.0,4.0,3.0
513000,10,6,5,3,22,5,5.0,3.0,4.0,5.0
513060,9,5,10,12,22,5,3.0,5.0,5.0,6.0
513120,8,8,8,0,22,5,3.0,5.0,0.0,1.0
513180,6,8,4,3,22,5,4.0,5.0,4.0,4.0
513240,8,9,10,9,22,5,3.0,5.0,6.0,6.0
513300,7,8,3,5,22,5,5.0,5.0,4.0,5.0
513360,5,5,7,0,22,5,7.0,5.0,4.0,3.0
513420,2,2,8,10,22,5,4.0,3.0,5.0,5.0
513480,5,7,4,7,22,5,5.0,5.0,4.0,4.0
513540,5,5,2,2,22,5,4.0,2.0,2.0,5.0
513600,4,4,5,5,22,5,5.0,4.0,6.0,5.0
513660,5,4,5,2,22,5,5.0,6.0,5.0,6.0
513720,5,7,5,4,22,5,3.0,5.0,5.0,4.0
513780,5,4,5,6,22,5,4.0,2.0,6.0,5.0
513840,5,5,2,1,22,5,5.0,5.0,4.0,5.0
513900,2,4,4,2,22,5,3.0,5.0,3.0,1.0
513960,3,5,6,6,22,5,3.0,4.0,5.0,5.0
514020,6,5,5,5,22,5,5.0,5.0,4.0,5.0
514080,5,4,4,5,22,5,4.0,4.0,4.0,5.0
514140,2,5,6,4,22,5,4.0,0.0,5.0,5.0
514200,4,5,3,5,22,5,4.0,4.0,3.0,3.0
514260,5,4,5,0,22,5,3.0,4.0,3.0,3.0
514320,3,4,5,6,22,5,3.0,4.0,4.0,4.0
514380,4,3,4,3,22,5,5.0,4.0,2.0,3.0
514440,4,4,3,3,22,5,5.0,5.0,2.0,3.0
514500,6,3,5,6,22,5,5.0,4.0,5.0,5.0
514560,4,5,4,4,22,5,3.0,4.0,0.0,2.0
514620,4,4,5,4,22,5,6.0,5.0,5.0,4.0
514680,3,4,4,4,22,5,6.0,6.0,6.0,7.0
514740,5,5,4,3,22,5,5.0,3.0,5.0,2.0
514800,5,3,4,5,23,5,6.0,4.0,3.0,4.0
514860,3,5,5,6,23,5,3.0,3.0,5.0,5.0
514920,3,5,0,1,23,5,6.0,5.0,5.0,4.0
514980,4,5,4,4,23,5,5.0,5.0,3.0,3.0
515040,3,5,6,6,23,5,5.0,5.0,7.0,6.0
515100,5,5,4,5,23,5,5.0,5.0,5.0,5.0
515160,7,5,4,3,23,5,4.0,4.0,5.0,0.0
515220,4,3,5,5,23,5,3.0,4.0,6.0,6.0
515280,5,5,4,4,23,5,5.0,5.0,2.0,5.0
515340,4,2,2,5,23,5,4.0,4.0,3.0,4.0
515400,5,4,6,5,23,5,2.0,5.0,5.0,5.0
515460,5,6,5,6,23,5,5.0,5.0,4.0,2.0
515520,3,5,5,4,23,5,3.0,5.0,5.0,3.0
515580,4,2,6,5,23,5,3.0,0.0,5.0,5.0
515640,5,5,4,5,23,5,4.0,4.0,2.0,4.0
515700,3,5,3,1,23,5,4.0,4.0,3.0,3.0
515760,3,4,5,5,23,5,3.0,3.0,4.0,4.0
515820,5,5,4,5,23,5,5.0,5.0,5.0,5.0
515880,4,4,4,5,23,5,5.0,5.0,4.0,5.0
515940,4,0,5,5,23,5,4.0,4.0,6.0,5.0
516000,4,4,3,3,23,5,4.0,4.0,4.0,3.0
516060,3,4,3,3,23,5,6.0,6.0,3.0,4.0
516120,3,4,4,4,23,5,3.0,4.0,6.0,7.0
516180,5,4,2,3,23,5,5.0,2.0,4.0,3.0
516240,5,5,2,3,23,5,4.0,3.0,3.0,3.0
516300,5,4,5,5,23,5,5.0,4.0,6.0,6.0
516360,3,4,0,2,23,5,6.0,5.0,3.0,5.0
516420,6,5,5,4,23,5,6.0,6.0,4.0,5.0
516480,6,6,6,7,23,5,4.0,3.0,5.0,6.0
516540,5,3,5,2,23,5,5.0,5.0,4.0,2.0
516600,6,4,3,4,23,5,3.0,2.0,2.0,3.0
516660,3,3,5,5,23,5,2.0,3.0,4.0,3.0
516720,6,5,5,4,23,5,3.0,3.0,3.0,2.0
516780,5,5,3,3,23,5,4.0,3.0,3.0,3.0
516840,5,5,7,6,23,5,3.0,2.0,3.0,3.0
516900,5,5,5,5,23,5,3.0,3.0,3.0,1.0
516960,4,4,5,0,23,5,4.0,3.0,4.0,3.0
517020,3,4,6,6,23,5,3.0,3.0,3.0,3.0
517080,5,5,2,5,23,5,4.0,4.0,3.0,3.0
517140,4,4,3,4,23,5,3.0,3.0,3.0,3.0
517200,2,5,5,5,23,5,2.0,2.0,2.0,2.0
517260,5,5,4,2,23,5,2.0,2.0,2.0,2.0
517320,3,5,5,3,23,5,2.0,2.0,2.0,2.0
517380,3,0,5,5,23,5,2.0,2.0,3.0,3.0
517440,4,4,2,4,23,5,2.0,2.0,1.0,2.0
517500,4,4,3,3,23,5,3.0,3.0,0.0,0.0
517560,3,3,4,4,23,5,2.0,2.0,3.0,3.0
517620,5,5,5,5,23,5,3.0,3.0,3.0,1.0
517680,5,5,4,5,23,5,4.0,3.0,2.0,2.0
517740,4,4,6,5,23,5,3.0,2.0,3.0,2.0
517800,4,4,4,3,23,5,5.0,4.0,3.0,3.0
517860,6,6,3,4,23,5,3.0,3.0,3.0,2.0
517920,3,4,6,7,23,5,3.0,0.0,3.0,3.0
517980,5,2,4,3,23,5,2.0,4.0,3.0,4.0
518040,4,3,3,3,23,5,2.0,2.0,3.0,3.0
518100,5,4,6,6,23,5,3.0,2.0,4.0,4.0
518160,6,5,3,5,23,5,3.0,2.0,3.0,4.0
518220,6,6,4,5,23,5,2.0,2.0,2.0,2.0
518280,4,3,5,6,23,5,1.0,1.0,2.0,2.0
518340,5,5,4,2,23,5,2.0,2.0,1.0,2.0
518400,3,2,2,3,0,6,2.0,3.0,2.0,2.0
518460,2,3,4,3,0,6,1.0,3.0,2.0,3.0
518520,3,3,3,2,0,6,3.0,3.0,2.0,2.0
518580,4,3,3,3,0,6,2.0,2.0,1.0,2.0
518640,3,2,3,3,0,6,0.0,3.0,3.0,3.0
518700,3,3,3,1,0,6,1.0,2.0,2.0,2.0
518760,4,3,4,3,0,6,2.0,2.0,2.0,2.0
518820,3,3,3,3,0,6,4.0,4.0,4.0,5.0
518880,4,4,3,3,0,6,3.0,3.0,1.0,2.0
518940,3,3,3,3,0,6,3.0,3.0,3.0,3.0
519000,2,2,2,2,0,6,4.0,2.0,3.0,4.0
519060,2,2,2,2,0,6,3.0,3.0,3.0,3.0
519120,2,2,2,2,0,6,2.0,3.0,3.0,3.0
519180,2,2,3,3,0,6,3.0,2.0,3.0,3.0
519240,2,2,1,2,0,6,3.0,3.0,3.0,3.0
519300,3,3,0,0,0,6,3.0,3.0,3.0,2.0
519360,2,2,3,3,0,6,1.0,2.0,2.0,2.0
519420,3,3,3,1,0,6,3.0,2.0,2.0,2.0
519480,4,3,2,2,0,6,3.0,2.0,3.0,2.0
519540,3,2,3,2,0,6,2.0,0.0,3.0,3.0
519600,5,4,3,3,0,6,2.0,2.0,1.0,2.0
519660,3,3,3,2,0,6,3.0,2.0,3.0,3.0
519720,3,0,3,3,0,6,2.0,1.0,3.0,3.0
519780,2,4,3,4,0,6,2.0,2.0,1.0,1.0
519840,2,2,3,3,0,6,3.0,3.0,2.0,4.0
519900,3,2,4,4,0,6,1.0,2.0,2.0,2.0
519960,3,2,3,4,0,6,3.0,3.0,3.0,3.0
520020,2,2,2,2,0,6,4.0,4.0,2.0,3.0
520080,1,1,2,2,0,6,3.0,3.0,3.0,3.0
520140,2,2,1,2,0,6,4.0,5.0,3.0,4.0
520200,2,3,2,2,0,6,2.0,2.0,3.0,2.0
520260,1,3,2,3,0,6,2.0,3.0,3.0,3.0
520320,3,3,2,2,0,6,3.0,4.0,4.0,3.0
520380,2,2,1,2,0,6,3.0,2.0,3.0,3.0
520440,0,3,3,3,0,6,2.0,2.0,3.0,4.0
520500,1,2,2,2,0,6,2.0,2.0,3.0,3.0
520560,2,2,2,2,0,6,2.0,2.0,2.0,2.0
520620,4,4,4,5,0,6,1.0,2.0,2.0,2.0
520680,3,3,1,2,0,6,2.0,2.0,2.0,1.0
520740,3,3,3,3,0,6,3.0,2.0,2.0,2.0
520800,4,2,3,4,0,6,2.0,2.0,2.0,2.0
520860,3,3,3,3,0,6,3.0,3.0,3.0,2.0
520920,2,3,3,3,0,6,2.0,2.0,1.0,2.0
520980,3,2,3,3,0,6,4.0,2.0,3.0,3.0
521040,3,3,3,3,0,6,3.0,3.0,2.0,3.0
521100,3,3,3,2,0,6,3.0,3.0,3.0,3.0
521160,1,2,2,2,0,6,3.0,1.0,5.0,4.0
521220,3,2,2,2,0,6,2.0,3.0,3.0,3.0
521280,3,2,3,2,0,6,3.0,3.0,2.0,3.0
521340,2,0,3,3,0,6,3.0,2.0,4.0,4.0
521400,2,2,1,2,0,6,3.0,3.0,0.0,0.0
521460,3,2,3,3,0,6,3.0,4.0,3.0,3.0
521520,2,1,3,3,0,6,3.0,2.0,3.0,3.0
521580,2,2,1,1,0,6,2.0,2.0,2.0,2.0
521640,3,3,2,4,0,6,1.0,2.0,2.0,2.0
521700,1,2,2,2,0,6,1.0,2.0,2.0,2.0
521760,3,3,3,3,0,6,2.0,2.0,2.0,2.0
521820,4,4,2,3,0,6,2.0,2.0,2.0,2.0
521880,3,3,3,3,0,6,1.0,2.0,3.0,3.0
521940,4,5,3,4,0,6,2.0,2.0,2.0,1.0
522000,2,2,3,2,1,6,3.0,3.0,2.0,2.0
522060,2,3,3,3,1,6,1.0,3.0,3.0,3.0
522120,3,4,4,3,1,6,2.0,2.0,2.0,2.0
522180,3,2,3,3,1,6,4.0,4.0,4.0,3.0
522240,2,2,3,4,1,6,3.0,3.0,3.0,3.0
522300,2,2,3,3,1,6,3.0,3.0,3.0,3.0
522360,2,2,2,2,1,6,3.0,3.0,3.0,2.0
522420,1,2,2,2,1,6,3.0,3.0,3.0,3.0
522480,2,2,2,1,1,6,4.0,4.0,3.0,2.0
522540,3,2,2,2,1,6,3.0,3.0,3.0,3.0
522600,2,2,2,2,1,6,2.0,3.0,4.0,4.0
522660,3,3,3,2,1,6,2.0,2.0,1.0,2.0
522720,2,2,1,2,1,6,2.0,2.0,1.0,2.0
522780,4,2,3,3,1,6,1.0,2.0,3.0,3.0
522840,3,3,2,3,1,6,3.0,3.0,2.0,1.0
522900,3,3,3,3,1,6,2.0,2.0,2.0,2.0
522960,3,1,5,4,1,6,2.0,2.0,2.0,2.0
523020,2,3,3,3,1,6,3.0,3.0,2.0,3.0
523080,3,3,2,3,1,6,3.0,3.0,2.0,2.0
523140,3,2,4,4,1,6,2.0,1.0,2.0,2.0
523200,3,3,0,0,1,6,4.0,4.0,3.0,2.0
523260,3,4,3,3,1,6,3.0,3.0,2.0,3.0
523320,3,2,3,3,1,6,0.0,2.0,3.0,3.0
523380,2,2,2,2,1,6,3.0,3.0,4.0,3.0
523440,1,2,2,2,1,6,2.0,2.0,3.0,3.0
523500,1,2,2,2,1,6,2.0,2.0,4.0,4.0
523560,2,2,2,2,1,6,3.0,3.0,2.0,3.0
523620,2,2,2,2,1,6,3.0,3.0,2.0,3.0
523680,1,2,3,3,1,6,3.0,2.0,3.0,3.0
523740,2,2,2,1,1,6,3.0,3.0,3.0,2.0
523800,3,3,2,2,1,6,2.0,3.0,2.0,1.0
523860,1,3,3,3,1,6,2.0,3.0,3.0,3.0
523920,2,2,2,2,1,6,2.0,2.0,2.0,3.0
523980,4,4,4,3,1,6,2.0,1.0,2.0,2.0
524040,3,3,3,3,1,6,2.0,3.0,3.0,2.0
524100,3,3,3,3,1,6,2.0,2.0,2.0,2.0
524160,3,3,3,2,1,6,2.0,2.0,2.0,2.0
524220,3,3,3,3,1,6,2.0,3.0,3.0,4.0
524280,4,4,3,2,1,6,2.0,2.0,1.0,1.0
524340,3,3,3,3,1,6,2.0,3.0,2.0,2.0
524400,2,3,4,4,1,6,3.0,3.0,4.0,4.0
524460,2,2,1,2,1,6,3.0,3.0,3.0,3.0
524520,2,2,1,2,1,6,3.0,4.0,3.0,4.0
524580,1,2,3,3,1,6,2.0,3.0,3.0,3.0
524640,3,3,2,1,1,6,3.0,3.0,1.0,3.0
524700,2,2,2,2,1,6,3.0,4.0,3.0,4.0
524760,2,2,2,2,1,6,3.0,1.0,3.0,3.0
524820,3,3,2,3,1,6,2.0,4.0,3.0,3.0
524880,3,3,2,2,1,6,2.0,2.0,2.0,2.0
524940,2,1,2,2,1,6,3.0,2.0,2.0,2.0
525000,4,4,3,2,1,6,2.0,2.0,2.0,2.0
525060,3,3,2,3,1,6,2.0,3.0,2.0,2.0
525120,0,2,3,3,1,6,2.0,2.0,3.0,3.0
525180,3,3,4,3,1,6,2.0,2.0,1.0,2.0
525240,2,2,3,3,1,6,3.0,3.0,1.0,2.0
525300,2,2,4,4,1,6,2.0,2.0,2.0,2.0
525360,3,3,2,3,1,6,2.0,2.0,2.0,2.0
525420,3,3,2,3,1,6,2.0,3.0,2.0,2.0
525480,3,2,3,3,1,6,3.0,3.0,3.0,3.0
525540,3,3,3,2,1,6,5.0,5.0,4.0,4.0
525600,2,3,2,1,2,6,2.0,2.0,3.0,3.0
525660,2,3,3,3,2,6,3.0,3.0,3.0,3.0
525720,2,2,2,3,2,6,3.0,4.0,1.0,3.0
525780,2,1,2,2,2,6,3.0,3.0,3.0,2.0
525840,2,3,3,2,2,6,2.0,2.0,4.0,4.0
525900,2,2,2,2,2,6,3.0,3.0,2.0,2.0
525960,2,2,2,2,2,6,3.0,3.0,3.0,3.0
526020,2,3,3,4,2,6,1.0,2.0,2.0,2.0
526080,2,2,1,1,2,6,2.0,2.0,2.0,2.0
526140,2,3,2,2,2,6,3.0,3.0,2.0,2.0
526200,3,3,4,4,2,6,3.0,2.0,3.0,3.0
526260,3,3,3,3,2,6,3.0,2.0,3.0,1.0
526320,3,4,3,4,2,6,2.0,2.0,2.0,1.0
526380,2,3,3,3,2,6,2.0,3.0,3.0,3.0
526440,3,3,1,3,2,6,2.0,1.0,1.0,2.0
526500,3,4,3,4,2,6,2.0,2.0,2.0,2.0
526560,3,1,3,3,2,6,3.0,3.0,3.0,4.0
526620,2,4,3,3,2,6,3.0,3.0,3.0,2.0
526680,2,2,2,2,2,6,3.0,2.0,3.0,3.0
526740,3,2,2,2,2,6,3.0,4.0,5.0,3.0
526800,2,2,2,2,2,6,3.0,3.0,2.0,0.0
526860,2,3,2,2,2,6,3.0,3.0,3.0,3.0
526920,2,2,3,3,2,6,3.0,2.0,4.0,3.0
526980,2,2,1,2,2,6,3.0,3.0,3.0,2.0
527040,3,3,1,2,2,6,3.0,3.0,3.0,3.0
527100,2,2,2,2,2,6,2.0,2.0,2.0,2.0
527160,2,2,2,2,2,6,2.0,2.0,2.0,2.0
527220,2,3,2,2,2,6,2.0,2.0,3.0,3.0
527280,3,3,3,3,2,6,2.0,2.0,3.0,4.0
527340,5,5,4,4,2,6,2.0,2.0,1.0,2.0
527400,2,2,3,3,2,6,3.0,2.0,3.0,3.0
527460,3,3,3,3,2,6,2.0,2.0,3.0,3.0
527520,3,4,1,3,2,6,2.0,2.0,2.0,1.0
527580,3,3,3,2,2,6,3.0,3.0,3.0,3.0
527640,2,2,4,4,2,6,2.0,2.0,2.0,2.0
527700,3,3,2,2,2,6,3.0,3.0,0.0,0.0
527760,3,3,3,3,2,6,3.0,4.0,3.0,2.0
527820,1,2,2,2,2,6,3.0,3.0,3.0,3.0
527880,2,2,2,2,2,6,4.0,5.0,3.0,4.0
527940,3,3,2,2,2,6,3.0,2.0,2.0,3.0
528000,3,2,3,3,2,6,3.0,3.0,3.0,3.0
528060,3,2,3,1,2,6,4.0,4.0,3.0,3.0
528120,2,2,2,1,2,6,2.0,3.0,3.0,3.0
528180,2,3,3,3,2,6,3.0,3.0,3.0,4.0
528240,2,1,1,2,2,6,3.0,2.0,3.0,3.0
528300,2,2,2,2,2,6,2.0,2.0,2.0,2.0
528360,3,3,3,4,2,6,2.0,2.0,2.0,2.0
528420,3,3,3,2,2,6,2.0,2.0,2.0,2.0
528480,3,2,3,3,2,6,3.0,3.0,2.0,2.0
528540,3,4,5,3,2,6,2.0,1.0,2.0,2.0
528600,3,3,2,0,2,6,4.0,3.0,2.0,3.0
528660,3,3,3,3,2,6,2.0,2.0,2.0,1.0
528720,3,2,4,3,2,6,3.0,0.0,4.0,3.0
528780,3,3,3,2,2,6,1.0,2.0,2.0,2.0
528840,3,3,3,3,2,6,2.0,3.0,2.0,2.0
528900,2,2,2,2,2,6,1.0,1.0,5.0,4.0
528960,2,2,2,2,2,6,2.0,2.0,1.0,1.0
529020,2,2,3,3,2,6,2.0,2.0,2.0,3.0
529080,2,2,3,4,2,6,4.0,4.0,3.0,2.0
529140,2,2,1,2,2,6,3.0,3.0,0.0,3.0
529200,3,2,3,3,3,6,4.0,3.0,3.0,3.0
529260,2,2,3,3,3,6,2.0,2.0,4.0,4.0
529320,2,2,2,1,3,6,2.0,2.0,2.0,2.0
529380,3,3,3,3,3,6,1.0,2.0,2.0,1.0
529440,2,2,2,2,3,6,2.0,2.0,2.0,2.0
529500,3,3,0,0,3,6,2.0,2.0,2.0,1.0
529560,3,4,3,2,3,6,2.0,3.0,1.0,3.0
529620,3,3,3,3,3,6,1.0,2.0,2.0,2.0
529680,4,5,3,4,3,6,2.0,2.0,2.0,1.0
529740,3,2,2,3,3,6,2.0,3.0,3.0,2.0
529800,3,3,3,3,3,6,2.0,2.0,3.0,2.0
529860,4,4,3,3,3,6,2.0,2.0,2.0,1.0
529920,2,3,3,3,3,6,4.0,3.0,4.0,3.0
529980,3,3,3,4,3,6,2.0,3.0,3.0,3.0
530040,3,2,3,3,3,6,3.0,3.0,3.0,3.0
530100,2,2,2,2,3,6,4.0,4.0,2.0,3.0
530160,2,2,2,2,3,6,3.0,2.0,3.0,3.0
530220,2,2,2,2,3,6,4.0,4.0,3.0,3.0
530280,3,3,2,2,3,6,3.0,3.0,2.0,2.0
530340,2,1,2,2,3,6,2.0,3.0,3.0,3.0
530400,4,3,2,3,3,6,3.0,3.0,3.0,3.0
530460,2,2,2,1,3,6,1.0,2.0,2.0,2.0
530520,3,0,4,3,3,6,2.0,2.0,3.0,3.0
530580,1,2,2,2,3,6,2.0,3.0,3.0,2.0
530640,2,3,2,2,3,6,2.0,2.0,0.0,0.0
530700,1,1,5,4,3,6,2.0,1.0,3.0,3.0
530760,2,2,1,1,3,6,3.0,2.0,2.0,3.0
530820,2,2,2,3,3,6,3.0,3.0,2.0,2.0
530880,4,4,3,2,3,6,2.0,2.0,2.0,3.0
530940,3,3,0,3,3,6,5.0,4.0,4.0,3.0
531000,4,3,3,3,3,6,2.0,2.0,1.0,2.0
531060,2,2,4,4,3,6,0.0,0.0,2.0,3.0
531120,2,2,2,2,3,6,3.0,2.0,3.0,3.0
531180,1,2,2,1,3,6,2.0,2.0,3.0,2.0
531240,2,2,2,2,3,6,2.0,3.0,5.0,5.0
531300,2,2,2,1,3,6,3.0,2.0,3.0,1.0
531360,2,3,1,3,3,6,3.0,3.0,3.0,3.0
531420,1,2,2,2,3,6,3.0,3.0,4.0,3.0
531480,2,2,2,1,3,6,3.0,3.0,3.0,0.0
531540,2,3,3,2,3,6,2.0,3.0,2.0,2.0
531600,2,2,3,2,3,6,3.0,2.0,3.0,3.0
531660,2,2,2,1,3,6,2.0,3.0,1.0,2.0
531720,4,3,4,3,3,6,2.0,2.0,2.0,2.0
531780,2,3,3,3,3,6,2.0,3.0,3.0,2.0
531840,3,3,3,3,3,6,2.0,2.0,2.0,2.0
531900,4,4,2,3,3,6,1.0,2.0,3.0,2.0
531960,3,2,3,3,3,6,2.0,3.0,4.0,3.0
532020,4,4,3,3,3,6,2.0,2.0,0.0,1.0
532080,3,3,2,2,3,6,3.0,2.0,2.0,3.0
532140,2,3,3,3,3,6,3.0,3.0,3.0,4.0
532200,3,3,3,3,3,6,3.0,3.0,2.0,2.0
532260,1,2,2,2,3,6,2.0,3.0,4.0,3.0
532320,2,2,3,3,3,6,2.0,3.0,3.0,3.0
532380,2,3,3,2,3,6,3.0,3.0,2.0,3.0
532440,2,2,0,0,3,6,4.0,3.0,2.0,2.0
532500,2,1,3,3,3,6,3.0,2.0,3.0,3.0
532560,3,2,2,3,3,6,4.0,4.0,3.0,3.0
532620,3,3,2,2,3,6,3.0,3.0,2.0,3.0
532680,2,2,2,3,3,6,2.0,2.0,2.0,2.0
532740,5,4,4,3,3,6,2.0,2.0,1.0,1.0
532800,2,2,1,2,4,6,2.0,2.0,2.0,2.0
532860,0,0,2,3,4,6,2.0,2.0,4.0,3.0
532920,3,2,3,3,4,6,2.0,2.0,2.0,1.0
532980,2,2,3,2,4,6,2.0,2.0,2.0,0.0
533040,2,3,5,5,4,6,2.0,2.0,2.0,3.0
533100,3,2,3,1,4,6,2.0,2.0,2.0,2.0
533160,3,3,3,3,4,6,3.0,3.0,2.0,2.0
533220,3,3,4,3,4,6,2.0,2.0,2.0,2.0
533280,3,3,3,0,4,6,5.0,5.0,4.0,4.0
533340,2,3,2,2,4,6,3.0,2.0,3.0,2.0
533400,3,2,3,3,4,6,3.0,1.0,3.0,3.0
533460,2,3,1,2,4,6,3.0,4.0,3.0,3.0
533520,2,2,2,2,4,6,3.0,3.0,3.0,3.0
533580,2,3,3,2,4,6,2.0,2.0,4.0,4.0
533640,2,2,2,2,4,6,3.0,3.0,3.0,3.0
533700,1,2,3,2,4,6,2.0,3.0,3.0,3.0
533760,2,3,4,3,4,6,1.0,1.0,3.0,3.0
533820,2,2,0,1,4,6,2.0,2.0,3.0,2.0
533880,3,2,2,3,4,6,1.0,2.0,2.0,2.0
533940,3,3,3,4,4,6,2.0,2.0,3.0,2.0
534000,3,3,2,2,4,6,2.0,3.0,2.0,2.0
534060,2,3,4,3,4,6,1.0,1.0,2.0,2.0
534120,2,3,3,3,4,6,3.0,3.0,3.0,3.0
534180,3,3,2,3,4,6,2.0,2.0,2.0,2.0
534240,4,3,2,2,4,6,2.0,2.0,2.0,2.0
534300,3,2,3,3,4,6,3.0,2.0,4.0,3.0
534360,4,4,3,3,4,6,3.0,3.0,3.0,1.0
534420,3,3,2,3,4,6,3.0,3.0,2.0,3.0
534480,2,2,2,2,4,6,2.0,3.0,4.0,3.0
534540,2,2,1,1,4,6,2.0,2.0,3.0,1.0
